District,Village,Taluk,Pin_Code,Locality,Main_Road,Landmark,Est_Population
Raichur,Jalhalli,Devadurga,584116,Jalhalli Chowk,Devadurga-Shahpur Road,Jalhalli Police Station,14300
Raichur,Chandrabanda,Raichur,584102,Chandrabanda Village,Yermarus-Chandrabanda Road,Siddharoodha Matha,7100
Raichur,Sirwar Rural,Sirwar,584122,Sirwar Extended Layout,Raichur Main Highway,Taluk Panchayat Office,15600
Raichur,Balaganur,Sindhanur,584138,Balaganur Center,Sindhanur-Lingasugur Road,Gram Devi Temple,12900
Raichur,Arakera,Devadurga,584113,Arakera Cross,Devadurga Main Road,Primary Health Centre,11000
Raichur,Sirigeri Village,Manvi,584120,Sirigeri Camp,Manvi Road,Basavanna Temple,6200
Raichur,Gaddipundi,Raichur,584140,Gaddipundi Basti,Shaktinagar Road,Krishna River Checkpost,5400
Raichur,Rodalabanda,Lingsugur,584139,Rodalabanda Village,Lingsugur Road,Government Primary School,6700
Raichur,Oti,Maski,584128,Oti Cross,Maski-Mudgal Highway,Gram Panchayat Kacheri,7300
Koppal,Karatgi,Karatgi,583229,Cereals Market Yard,Gangavathi-Sindhanur Road,Karatgi APMC Gate,29000
Koppal,Kuknoor,Kuknoor,583232,Mahadeva Temple Street,Yelburga-Kuknoor Road,Historical Mahadeva Temple,19500
Koppal,Kanakgiri,Kanakgiri,583283,Kanakachalapathi Bazaar,Gangavathi-Lingasugur Road,Kanakachalapathi Temple,21000
Koppal,Tawargera,Kushtagi,583279,Tawargera Circle,Kushtagi-Sindhanur Road,Police Station,14800
Koppal,Hanamsagar,Kushtagi,583281,Fort View Colony,Kushtagi-Ilkal Road,Hanamsagar Fort Hilltop,16200
Koppal,Hosahalli,Koppal,583234,Gavi Matha Layout,Koppal-Kushtagi Road,Hosahalli Cross Bus Stop,8700
Koppal,Siddapur,Gangavathi,583282,Siddapur Camp,Kampli-Gangavathi Road,Siddapur Canal Bridge,11400
Koppal,Alwandi,Koppal,583226,Alwandi Market,Koppal-Gajendragad Road,Eshwara Temple,13100
Koppal,Anegundi,Gangavathi,583227,Heritage Village Square,Hampi-Anegundi Road,Ranganatha Swamy Temple,7800
Koppal,Yelburga Rural,Yelburga,583236,Yelburga Extension,Kuknoor-Yelburga Highway,Taluk Administrative Court,15200
Koppal,Hireboganhal,Koppal,583228,Hireboganhal Basti,Koppal Highway,Anjaneya Temple,6900
Koppal,Bewoor,Kushtagi,583277,Bewoor Cross,Kushtagi-Gajendragad Road,Government High School Building,9300
Koppal,Budugumpa,Karatgi,583228,Budugumpa Cross Junction,Gangavathi Road,Checkpost,8400
Koppal,Bannikoppa,Kuknoor,583237,Bannikoppa Village,Koppal-Gadag Railway Line,Bannikoppa Railway Station Side,7600
Koppal,Ginigera,Koppal,583228,Industrial Area,National Highway 63,Ginigera Junction Railway Station,13800
Koppal,Karatagi Gonal,Karatgi,583235,Gonal Basti,Rice Mill Road,Sri Krishna Rice Mill,6100
Koppal,Sriramagar,Gangavathi,583228,Sriramagar Layout,Gangavathi Town Main Road,Sriramagar Post Office,17500
Koppal,Kinnal,Koppal,583230,Kinnal Craft Cluster,Koppal-Budugumpa Road,Traditional Toy Artisans Lane,12300
Koppal,Mangalapura,Yelburga,583232,Mangalapura Village,Kuknoor Road,Gram Panchayat Office,5200
Koppal,Chikka Jantkal,Gangavathi,583227,River View Locality,Anegundi Road,Anegunid Ferry Point,9800
Vijayanagara,Hampasagara,Hagaribommanahalli,583214,Hampasagara Market,Hagaribommanahalli Road,Tungabhadra Bank Plain,13200
Vijayanagara,Hirehadagalli,Hadagali,583216,Kalleshwara Temple Area,Hadagali-Harapanahalli Road,Historical Kalleshwara Temple,14500
Vijayanagara,Chintrapalli,Hagaribommanahalli,583217,Chintrapalli Village Square,Hospet-Harihar Road,Government PU College,9100
Vijayanagara,Mariyammanahalli,Hospete,583219,TB Dam Backwater View,National Highway 50,Mariyammanahalli Bus Stand Circle,21500
Vijayanagara,Kotturu Rural,Kotturu,583134,Guru Basaveshwara Matha Lane,Kotturu-Kudligi Road,Sri Kottureshwara Temple,27000
Vijayanagara,Kudligi Rural,Kudligi,583135,Kudligi Fort Layout,National Highway 50,Kudligi KSRTC Bus Depot,26500
Vijayanagara,Harapanahalli Rural,Harapanahalli,583131,Fort Road Area,Harihar-Hospital Highway,Harapanahalli Jain Temple,29000
Vijayanagara,Kamalapura,Hospete,583221,Hampi Ruins Border,Kamalapura-Hampi Road,Kamalapura KSTDC Mayura Bhuvaneshwari,24000
Vijayanagara,Itagi,Hadagali,583220,Itagi Village,Hadagali Main Road,Bhimambika Temple,10300
Vijayanagara,Hulilkatte,Harapanahalli,583125,Hulilkatte Cross,Kotturu Road,Gram Panchayat Kacheri,7100
Vijayanagara,Gunda,Hospete,583119,Gunda Forest Range Area,Sandur-Hospet Interior Road,Gunda Forest Checkpost,6800
Vijayanagara,Choranoor Border,Kudligi,583126,Border Outpost Basti,Sandur-Kudligi State Highway,Border Toll Plaza,5900
Vijayanagara,Hagari Rural,Hagaribommanahalli,583212,APMC Layout,Hospet Main Road,Hagaribommanahalli Railway Station,18200
Vijayanagara,Holalu,Hadagali,583211,Holalu Anjaneya Layout,Hadagali Highway,Famous Holalu Anjaneya Temple,11600
Vijayanagara,Teligi,Harapanahalli,583137,Teligi Cross,Harihar-Harapanahalli Road,Teligi Railway Station,12400
Vijayanagara,Ujjini,Kudligi,583136,Ujjini Peetha Premises,Kotturu-Chitradurga Road,Ujjini Marulasiddeshwara Peetha,15100
Vijayanagara,Gisthapura,Kotturu,583139,Gisthapura Basti,Kotturu Rural Road,Veerabhadra Swamy Temple,5200
Vijayanagara,Malapanagudi,Hospete,583225,Malapanagudi Entry Gate,Hospet-Kamalapura Road,Malapanagudi Ancient Gatehouse,14200
Vijayanagara,Tambrahalli,Hagaribommanahalli,583224,Tambrahalli Backwaters,Hagaribommanahalli Highway,Primary Health Centre,10800
Vijayanagara,Katarki,Hadagali,583219,Katarki Village Center,Hadagali-Mundargi Road,Katarki Basaveshwara Gudi,8300
Chitradurga,Aymangala,Hiriyur,577558,Aymangala Cross,National Highway 48,Aymangala Toll Gate,12100
Chitradurga,Bidarkere,Chitradurga,577519,Bidarkere Layout,Chitradurga-Challakere Road,Bidarkere Government High School,9400
Chitradurga,Hosadurga Rural,Hosadurga,577527,Sadguru Kabir Ashram Road,Hosadurga-Ajjamapura Road,Hosadurga Fort Wall Gate,22500
Chitradurga,Holalkere Rural,Holalkere,577526,Ganapati Temple Layout,Chitradurga-Holalkere Road,Holalkere KSRTC Bus Stand,21000
Chitradurga,Molakalmuru Rural,Molakalmuru,577535,Saree Weavers Colony,Molakalmuru-Rayadurg Road,Molakalmuru Rock Formations Viewpoint,17500
Chitradurga,Nayanahatti,Challakere,577536,Thipperudra Swamy Matha Area,Challakere-Pavagada Road,Sri Guru Thipperudraswamy Temple,26000
Chitradurga,Bhimasandra,Chitradurga,577502,Bhimasandra Industrial Layout,National Highway 48 ByPass,Chitradurga KSRTC Depot 2,14300
Chitradurga,Imangala,Hiriyur,577544,Imangala Junction,Hiriyur-Huliyar Road,Imangala Police Station,11200
Chitradurga,Srirampur,Hosadurga,577542,Srirampur Bazar,Hosadurga-Channagiri Road,Srirampur Post Office,13800
Chitradurga,Ramagiri,Holalkere,577539,Ramagiri Hill Area,Holalkere-Davangere Road,Ramagiri Railway Station,10500
Chitradurga,Rampura,Molakalmuru,577540,Rampura Chowk,Challakere-Bellary Highway,Rampura Police Station,14100
Chitradurga,Thallak,Challakere,577543,Thallak Cross,National Highway 150A,Thallak Forest Range Office,16900
Chitradurga,Turavanur,Chitradurga,577517,Turavanur Bazar,Chitradurga-Jagallur Road,Eshwara Temple Complex,18300
Chitradurga,Dharmapura,Hiriyur,577546,Dharmapura Market Plain,Hiriyur-Sira Road,Government Veterinary Hospital,11900
Chitradurga,Mathodu,Hosadurga,577533,Mathodu Industrial Basti,Hosadurga-Huliyar Road,Mathodu Cement Sheet Factory Gate,12600
Chitradurga,Chikkajajur,Holalkere,577523,Railway Station Colony,Chikkajajur Main Road,Chikkajajur Junction Railway Station,15400
Chitradurga,Devarahatta,Challakere,577522,Devarahatta Basti,Challakere Rural Belt Road,Gram Devi Temple,6200
Chitradurga,Sirigere,Chitradurga,577541,Taralabalu Matha Premises,Chitradurga-Davangere Highway,Sirigere Taralabalu Jagadguru Brihanmatha,24200
Chitradurga,Vani Vilasa Pura,Hiriyur,577545,VV Dam Site Village,VV Dam Approach Road,Vani Vilasa Sagara Dam (Mari Kanive),8700
Chitradurga,Bommagondanahalli,Challakere,577538,Bommagondanahalli Cross,Challakere Highway,Government High School,7900
Davanagere,Anaji,Davanagere,577512,Anaji Village Center,Davanagere-Jagalur Road,Anaji Historical Battle Memorial Site,11800
Davanagere,Malebennur,Harihar,577530,Malebennur Market Area,Harihar-Malebennur Highway,Malebennur Bus Stand Terminal,27500
Davanagere,Santhebennur,Channagiri,577552,Pushkarani Heritage Locality,Channagiri-Davangere Road,Historical Santhebennur Pushkarani (Foot-Pond),23000
Davanagere,Tyavanigi,Channagiri,577547,Tyavanigi Bazar Circle,Davangere-Channagiri Highway,Tyavanigi Police Station,15200
Davanagere,Mayakonda,Davanagere,577534,Mayakonda Market Road,Mayakonda-Sirigere Road,Mayakonda Railway Station,14300
Davanagere,Ylburchi,Jagalur,577528,Ylburchi Village Basti,Jagalur State Highway,Gram Panchayat Complex,5800
Davanagere,Asagodu,Jagalur,577513,Asagodu Cross,Jagalur Main Road,Government Composite High School,7200
Davanagere,Hadadi,Davanagere,577556,Hadadi Industrial Fringe,Davanagere-Lokikere Road,Hadadi Primary Health Centre,16800
Davanagere,Davanagere Rural,Davanagere,577006,Davanagere Outer Layout,Old National Highway 4,Bapuji Institute of Engineering (BIET) Gate,32000
Davanagere,Kakkargolla,Davanagere,577002,Kakkargolla Village,Harihar Bypass Road,Anjaneya Gudi,8900
Davanagere,Syagale,Harihar,577516,Syagale Village Sector,Harihar Rural Belt Road,Tungabhadra Canal Gate 4,6400
Davanagere,Bilikere,Jagalur,577514,Bilikere Layout,Jagalur-Kotturu Highway,Bilikere Milk Collection Center,7900
Davanagere,Nallur,Channagiri,577221,Nallur Heritage Tamarind Grove,Channagiri-Shimoga Road,Nallur Fort Wall remnants,12100
Davanagere,Hodigere,Channagiri,577515,Shahaji Maharaj Tomb Locality,Channagiri Town Rural Ring Road,Tomb of Shahaji Maharaj (Shivaji's Father),9600
Davanagere,Gopanal,Channagiri,577531,Gopanal Cross,Channagiri-Holalkere Road,Government Primary Health Unit,8100
Davanagere,Dyamavvanahalli,Harihar,577601,Dyamavvanahalli Basti,Harihar-Bannikode Road,Dyamavva Goddess Temple,6900
Davanagere,Lokikere,Davanagere,577005,Lokikere Industrial Zone,Davanagere-Lokikere Main Highway,Lokikere Grid Electrical Substation,18500
Davanagere,Sokke,Jagalur,577545,Sokke Market Square,Jagalur-Challakere Road,Sokke Post Office,13100
Davanagere,Basavapatna,Channagiri,577551,Basavapatna Fort Circle,Channagiri-Mayakonda Road,Historical Basavapatna Fort Wall ruins,19800
Davanagere,Kondajji,Davanagere,577589,Kondajji Forest Lake Resort,Davanagere-Jagalur Alternate Highway,Kondajji Basaveshwara Lake Park Gate,14700
