unit_id,facility_id,blood_group,component,quantity_ml,collection_date,expiry_date,days_remaining,status,is_near_expiry
UNIT00108,FAC001,A+,Plasma,203,2026-05-24,2027-05-24,296,Available,False
UNIT00109,FAC001,B+,Platelets,56,2026-07-31,2026-08-05,4,Available,False
UNIT00110,FAC001,B+,Plasma,201,2026-04-26,2027-04-26,268,Available,False
UNIT00111,FAC001,O+,Whole Blood,394,2026-06-17,2026-07-22,-10,Expired,False
UNIT00112,FAC001,A-,Whole Blood,446,2026-07-06,2026-08-10,9,Available,False
UNIT00113,FAC001,A+,RBC,259,2026-07-24,2026-08-28,27,Available,False
UNIT00114,FAC001,B+,Plasma,213,2025-12-20,2026-12-20,141,Available,False
UNIT00115,FAC001,B+,Platelets,59,2026-07-28,2026-08-02,1,Available,True
UNIT00116,FAC001,O+,Whole Blood,389,2026-07-06,2026-08-10,9,Available,False
UNIT00117,FAC001,A+,Whole Blood,398,2026-06-28,2026-08-02,1,Available,True
UNIT00118,FAC001,B+,RBC,290,2026-07-27,2026-08-31,30,Available,False
UNIT00119,FAC001,B+,Platelets,51,2026-07-28,2026-08-02,1,Available,True
UNIT00120,FAC001,O+,Whole Blood,397,2026-07-20,2026-08-24,23,Available,False
UNIT00121,FAC001,A+,Platelets,57,2026-08-01,2026-08-06,5,Available,False
UNIT00122,FAC001,A+,Platelets,52,2026-07-29,2026-08-03,2,Available,False
UNIT00123,FAC001,B+,Platelets,57,2026-07-29,2026-08-03,2,Reserved,False
UNIT00124,FAC001,B+,Platelets,51,2026-07-30,2026-08-04,3,Available,False
UNIT00125,FAC001,B+,Plasma,239,2026-04-28,2027-04-28,270,Available,False
UNIT00126,FAC001,O+,Platelets,52,2026-08-01,2026-08-06,5,Available,False
UNIT00127,FAC001,B+,Platelets,59,2026-07-28,2026-08-02,1,Available,True
UNIT00128,FAC001,O+,Platelets,53,2026-07-29,2026-08-03,2,Available,False
UNIT00129,FAC001,A+,Plasma,244,2026-02-20,2027-02-20,203,Available,False
UNIT00130,FAC001,B+,Plasma,218,2026-03-04,2027-03-04,215,Available,False
UNIT00131,FAC001,A-,RBC,280,2026-07-21,2026-08-25,24,Available,False
UNIT00132,FAC001,AB+,Platelets,55,2026-07-30,2026-08-04,3,Available,False
UNIT00133,FAC001,B+,Plasma,207,2026-04-21,2027-04-21,263,Available,False
UNIT00134,FAC001,O+,Platelets,52,2026-07-31,2026-08-05,4,Available,False
UNIT00135,FAC001,A+,Plasma,248,2026-04-20,2027-04-20,262,Available,False
UNIT00136,FAC001,B+,Platelets,53,2026-07-26,2026-07-31,-1,Expired,False
UNIT00137,FAC001,B+,Platelets,58,2026-07-31,2026-08-05,4,Available,False
UNIT00138,FAC001,A+,Whole Blood,420,2026-06-23,2026-07-28,-4,Expired,False
UNIT00139,FAC001,B+,RBC,256,2026-07-12,2026-08-16,15,Available,False
UNIT00140,FAC001,O+,Platelets,52,2026-07-30,2026-08-04,3,Available,False
UNIT00141,FAC001,O+,Platelets,51,2026-07-27,2026-08-01,0,Available,True
UNIT00142,FAC001,B+,Whole Blood,369,2026-07-14,2026-08-18,17,Available,False
UNIT00143,FAC001,A+,Platelets,58,2026-07-31,2026-08-05,4,Available,False
UNIT00144,FAC001,O+,RBC,278,2026-07-06,2026-08-10,9,Available,False
UNIT00145,FAC001,B+,Plasma,239,2026-04-12,2027-04-12,254,Available,False
UNIT00146,FAC001,O+,Whole Blood,376,2026-06-26,2026-07-31,-1,Expired,False
UNIT00147,FAC001,O+,Platelets,52,2026-07-29,2026-08-03,2,Available,False
UNIT00148,FAC001,AB+,RBC,288,2026-07-31,2026-09-04,34,Available,False
UNIT00149,FAC001,B+,Whole Blood,439,2026-07-23,2026-08-27,26,Available,False
UNIT00150,FAC001,O+,Whole Blood,450,2026-07-10,2026-08-14,13,Reserved,False
UNIT00151,FAC001,O+,RBC,291,2026-07-18,2026-08-22,21,Available,False
UNIT00152,FAC001,A+,Platelets,52,2026-07-28,2026-08-02,1,Available,True
UNIT00153,FAC001,O+,Platelets,54,2026-07-30,2026-08-04,3,Available,False
UNIT00154,FAC001,O+,Platelets,51,2026-07-30,2026-08-04,3,Available,False
UNIT00155,FAC002,O+,Platelets,53,2026-07-29,2026-08-03,2,Available,False
UNIT00156,FAC002,O+,Whole Blood,436,2026-06-17,2026-07-22,-10,Expired,False
UNIT00157,FAC002,O+,Whole Blood,416,2026-07-07,2026-08-11,10,Available,False
UNIT00158,FAC002,O+,Platelets,60,2026-07-31,2026-08-05,4,Available,False
UNIT00159,FAC002,O+,Whole Blood,391,2026-07-17,2026-08-21,20,Available,False
UNIT00160,FAC002,O+,RBC,268,2026-07-21,2026-08-25,24,Available,False
UNIT00161,FAC002,O+,Plasma,229,2025-10-19,2026-10-19,79,Available,False
UNIT00162,FAC002,A+,Platelets,56,2026-07-30,2026-08-04,3,Reserved,False
UNIT00163,FAC002,O+,Whole Blood,402,2026-07-11,2026-08-15,14,Available,False
UNIT00164,FAC002,A+,Platelets,57,2026-07-29,2026-08-03,2,Available,False
UNIT00165,FAC002,O+,RBC,268,2026-07-22,2026-08-26,25,Available,False
UNIT00166,FAC002,B+,Plasma,238,2026-05-28,2027-05-28,300,Reserved,False
UNIT00167,FAC002,O+,RBC,276,2026-07-21,2026-08-25,24,Available,False
UNIT00168,FAC002,A+,Whole Blood,369,2026-07-17,2026-08-21,20,Available,False
UNIT00169,FAC002,B+,Platelets,57,2026-07-30,2026-08-04,3,Available,False
UNIT00170,FAC002,O-,RBC,262,2026-07-17,2026-08-21,20,Available,False
UNIT00171,FAC002,O+,RBC,300,2026-07-02,2026-08-06,5,Available,True
UNIT00172,FAC002,O+,Platelets,50,2026-07-27,2026-08-01,0,Available,True
UNIT00173,FAC002,B+,Platelets,60,2026-07-28,2026-08-02,1,Available,True
UNIT00174,FAC002,B+,RBC,271,2026-07-18,2026-08-22,21,Available,False
UNIT00175,FAC002,AB+,Plasma,212,2026-03-02,2027-03-02,213,Available,False
UNIT00176,FAC002,O-,RBC,299,2026-07-14,2026-08-18,17,Available,False
UNIT00177,FAC002,B+,Platelets,56,2026-07-29,2026-08-03,2,Available,False
UNIT00178,FAC002,B+,RBC,282,2026-07-16,2026-08-20,19,Available,False
UNIT00179,FAC002,O+,Platelets,57,2026-07-28,2026-08-02,1,Available,True
UNIT00180,FAC002,A+,Plasma,241,2026-07-09,2027-07-09,342,Available,False
UNIT00181,FAC002,O+,Whole Blood,393,2026-07-17,2026-08-21,20,Reserved,False
UNIT00182,FAC002,O+,Plasma,243,2025-12-28,2026-12-28,149,Available,False
UNIT00183,FAC002,O+,Plasma,240,2025-07-16,2026-07-16,-16,Expired,False
UNIT00184,FAC002,O+,Plasma,204,2025-09-16,2026-09-16,46,Available,True
UNIT00185,FAC002,B+,Platelets,51,2026-07-26,2026-07-31,-1,Expired,False
UNIT00186,FAC002,B+,Whole Blood,362,2026-07-07,2026-08-11,10,Available,False
UNIT00187,FAC002,B+,Platelets,50,2026-07-27,2026-08-01,0,Available,True
UNIT00188,FAC002,B+,Platelets,56,2026-07-30,2026-08-04,3,Available,False
UNIT00189,FAC002,AB+,RBC,274,2026-07-25,2026-08-29,28,Available,False
UNIT00190,FAC002,O+,RBC,264,2026-07-16,2026-08-20,19,Available,False
UNIT00191,FAC002,B+,Platelets,57,2026-07-30,2026-08-04,3,Available,False
UNIT00192,FAC002,O+,RBC,287,2026-07-27,2026-08-31,30,Reserved,False
UNIT00193,FAC002,B+,Plasma,219,2025-12-12,2026-12-12,133,Available,False
UNIT00194,FAC002,A+,Plasma,224,2025-09-28,2026-09-28,58,Available,True
UNIT00195,FAC002,AB+,Platelets,54,2026-07-26,2026-07-31,-1,Expired,False
UNIT00196,FAC002,A+,Plasma,243,2026-04-20,2027-04-20,262,Available,False
UNIT00197,FAC002,O+,Whole Blood,386,2026-06-29,2026-08-03,2,Available,True
UNIT00198,FAC002,O+,RBC,290,2026-07-13,2026-08-17,16,Available,False
UNIT00199,FAC002,A+,Platelets,60,2026-07-29,2026-08-03,2,Available,False
UNIT00200,FAC002,O+,RBC,291,2026-07-12,2026-08-16,15,Reserved,False
UNIT00201,FAC002,A+,Plasma,208,2026-06-28,2027-06-28,331,Available,False
UNIT00202,FAC002,A+,Platelets,53,2026-07-30,2026-08-04,3,Available,False
UNIT00203,FAC002,A+,Platelets,52,2026-07-30,2026-08-04,3,Reserved,False
UNIT00204,FAC002,B+,Plasma,218,2025-07-01,2026-07-01,-31,Expired,False
UNIT00205,FAC002,O+,Platelets,51,2026-07-28,2026-08-02,1,Available,True
UNIT00206,FAC002,A+,RBC,275,2026-07-02,2026-08-06,5,Available,True
UNIT00207,FAC002,O+,Platelets,54,2026-07-31,2026-08-05,4,Available,False
UNIT00208,FAC002,B-,Plasma,216,2026-03-26,2027-03-26,237,Available,False
UNIT00209,FAC002,AB+,Platelets,50,2026-07-31,2026-08-05,4,Available,False
UNIT00210,FAC002,O+,Platelets,51,2026-07-27,2026-08-01,0,Available,True
UNIT00211,FAC002,O+,Plasma,226,2025-08-23,2026-08-23,22,Available,True
UNIT00212,FAC002,A+,Whole Blood,388,2026-06-26,2026-07-31,-1,Expired,False
UNIT00213,FAC002,O-,Whole Blood,367,2026-07-26,2026-08-30,29,Reserved,False
UNIT00214,FAC002,B+,Platelets,58,2026-07-29,2026-08-03,2,Available,False
UNIT00215,FAC002,B+,RBC,281,2026-07-01,2026-08-05,4,Available,True
UNIT00216,FAC002,O+,Platelets,57,2026-08-01,2026-08-06,5,Available,False
UNIT00217,FAC002,B+,RBC,293,2026-07-02,2026-08-06,5,Available,True
UNIT00218,FAC002,B+,Platelets,51,2026-07-31,2026-08-05,4,Available,False
UNIT00219,FAC002,O+,Plasma,240,2026-06-06,2027-06-06,309,Available,False
UNIT00220,FAC002,AB+,Whole Blood,366,2026-07-28,2026-09-01,31,Available,False
UNIT00221,FAC002,O+,RBC,263,2026-07-27,2026-08-31,30,Available,False
UNIT00222,FAC002,AB+,RBC,288,2026-07-21,2026-08-25,24,Available,False
UNIT00223,FAC002,A+,RBC,284,2026-06-21,2026-07-26,-6,Expired,False
UNIT00224,FAC002,B+,RBC,258,2026-07-26,2026-08-30,29,Available,False
UNIT00225,FAC002,A+,RBC,266,2026-07-13,2026-08-17,16,Available,False
UNIT00226,FAC002,A+,Plasma,230,2026-02-08,2027-02-08,191,Available,False
UNIT00227,FAC002,B+,Platelets,58,2026-07-30,2026-08-04,3,Available,False
UNIT00228,FAC002,A-,Whole Blood,434,2026-07-08,2026-08-12,11,Reserved,False
UNIT00229,FAC002,B+,Plasma,230,2025-12-30,2026-12-30,151,Available,False
UNIT00230,FAC002,O+,Plasma,228,2025-12-14,2026-12-14,135,Available,False
UNIT00231,FAC002,A+,Whole Blood,366,2026-07-21,2026-08-25,24,Available,False
UNIT00232,FAC002,B+,Platelets,54,2026-07-30,2026-08-04,3,Available,False
UNIT00233,FAC002,B+,Plasma,241,2026-06-03,2027-06-03,306,Available,False
UNIT00234,FAC002,O+,RBC,276,2026-07-18,2026-08-22,21,Reserved,False
UNIT00235,FAC002,B+,Plasma,220,2026-03-18,2027-03-18,229,Available,False
UNIT00236,FAC002,B+,Platelets,57,2026-07-30,2026-08-04,3,Available,False
UNIT00237,FAC002,A+,Whole Blood,444,2026-07-27,2026-08-31,30,Available,False
UNIT00238,FAC002,B+,RBC,285,2026-07-14,2026-08-18,17,Available,False
UNIT00239,FAC002,AB+,Whole Blood,446,2026-07-19,2026-08-23,22,Available,False
UNIT00240,FAC002,B+,Whole Blood,426,2026-06-24,2026-07-29,-3,Expired,False
UNIT00241,FAC002,B+,Whole Blood,434,2026-07-14,2026-08-18,17,Available,False
UNIT00242,FAC002,B+,Whole Blood,364,2026-07-20,2026-08-24,23,Available,False
UNIT00243,FAC002,O+,RBC,299,2026-07-05,2026-08-09,8,Available,False
UNIT00244,FAC002,O+,Whole Blood,438,2026-07-13,2026-08-17,16,Available,False
UNIT00245,FAC002,B+,RBC,271,2026-07-22,2026-08-26,25,Available,False
UNIT00246,FAC002,B+,RBC,275,2026-07-02,2026-08-06,5,Available,True
UNIT00247,FAC002,A+,Whole Blood,398,2026-07-27,2026-08-31,30,Available,False
UNIT00248,FAC002,B+,Platelets,55,2026-07-31,2026-08-05,4,Available,False
UNIT00249,FAC002,O+,Whole Blood,446,2026-07-01,2026-08-05,4,Available,True
UNIT00250,FAC002,O+,Whole Blood,412,2026-07-22,2026-08-26,25,Available,False
UNIT00251,FAC002,AB+,Plasma,207,2026-04-21,2027-04-21,263,Available,False
UNIT00252,FAC002,B+,Whole Blood,412,2026-07-22,2026-08-26,25,Available,False
UNIT00253,FAC002,B+,Platelets,59,2026-07-31,2026-08-05,4,Available,False
UNIT00254,FAC002,A+,RBC,258,2026-07-21,2026-08-25,24,Available,False
UNIT00255,FAC002,O+,Platelets,56,2026-07-30,2026-08-04,3,Available,False
UNIT00256,FAC002,A+,Plasma,235,2026-02-06,2027-02-06,189,Available,False
UNIT00257,FAC002,O+,Platelets,50,2026-07-31,2026-08-05,4,Available,False
UNIT00258,FAC002,B+,Plasma,236,2025-08-14,2026-08-14,13,Available,True
UNIT00259,FAC002,B+,Plasma,207,2025-12-05,2026-12-05,126,Available,False
UNIT00260,FAC002,B+,Platelets,57,2026-07-31,2026-08-05,4,Reserved,False
UNIT00261,FAC002,O+,Platelets,53,2026-07-31,2026-08-05,4,Available,False
UNIT00262,FAC002,B+,Plasma,219,2026-02-09,2027-02-09,192,Available,False
UNIT00263,FAC002,O+,RBC,282,2026-07-21,2026-08-25,24,Available,False
UNIT00264,FAC002,O+,RBC,296,2026-06-29,2026-08-03,2,Available,True
UNIT00265,FAC002,O+,RBC,262,2026-07-23,2026-08-27,26,Available,False
UNIT00266,FAC002,A+,RBC,261,2026-07-07,2026-08-11,10,Available,False
UNIT00267,FAC002,O+,Plasma,237,2026-02-27,2027-02-27,210,Available,False
UNIT00268,FAC002,B+,Platelets,52,2026-07-28,2026-08-02,1,Available,True
UNIT00269,FAC002,B+,Plasma,217,2026-03-05,2027-03-05,216,Available,False
UNIT00270,FAC002,AB+,Platelets,57,2026-07-30,2026-08-04,3,Available,False
UNIT00271,FAC002,A+,Platelets,51,2026-07-28,2026-08-02,1,Available,True
UNIT00272,FAC002,O+,Plasma,250,2026-02-27,2027-02-27,210,Available,False
UNIT00273,FAC002,O+,Whole Blood,433,2026-07-18,2026-08-22,21,Available,False
UNIT00274,FAC002,A+,Plasma,228,2026-02-16,2027-02-16,199,Reserved,False
UNIT00275,FAC002,A+,Platelets,51,2026-07-26,2026-07-31,-1,Expired,False
UNIT00276,FAC002,B+,RBC,278,2026-07-28,2026-09-01,31,Available,False
UNIT00277,FAC002,B+,RBC,274,2026-07-20,2026-08-24,23,Reserved,False
UNIT00278,FAC002,B+,Platelets,60,2026-07-29,2026-08-03,2,Available,False
UNIT00279,FAC002,O+,Whole Blood,399,2026-07-21,2026-08-25,24,Available,False
UNIT00280,FAC002,B+,RBC,259,2026-07-21,2026-08-25,24,Available,False
UNIT00281,FAC002,O+,Platelets,56,2026-07-27,2026-08-01,0,Available,True
UNIT00282,FAC002,A+,Whole Blood,392,2026-07-21,2026-08-25,24,Available,False
UNIT00283,FAC002,O+,Whole Blood,396,2026-07-11,2026-08-15,14,Available,False
UNIT00284,FAC002,A+,Platelets,57,2026-07-31,2026-08-05,4,Available,False
UNIT00285,FAC002,A+,RBC,300,2026-07-25,2026-08-29,28,Available,False
UNIT00286,FAC002,A+,Whole Blood,429,2026-07-11,2026-08-15,14,Available,False
UNIT00287,FAC002,A+,Plasma,244,2026-05-20,2027-05-20,292,Available,False
UNIT00288,FAC002,O+,RBC,273,2026-07-09,2026-08-13,12,Available,False
UNIT00289,FAC002,O+,RBC,289,2026-06-24,2026-07-29,-3,Expired,False
UNIT00290,FAC002,B+,Plasma,250,2026-05-01,2027-05-01,273,Available,False
UNIT00291,FAC002,B+,RBC,278,2026-07-20,2026-08-24,23,Reserved,False
UNIT00292,FAC002,B+,Platelets,56,2026-07-28,2026-08-02,1,Available,True
UNIT00293,FAC002,O+,RBC,266,2026-07-05,2026-08-09,8,Available,False
UNIT00294,FAC002,A+,Plasma,206,2025-09-15,2026-09-15,45,Available,True
UNIT00295,FAC002,O+,Whole Blood,384,2026-07-22,2026-08-26,25,Available,False
UNIT00296,FAC002,B+,RBC,264,2026-07-04,2026-08-08,7,Available,True
UNIT00297,FAC002,O+,Platelets,56,2026-07-27,2026-08-01,0,Available,True
UNIT00298,FAC002,B+,RBC,264,2026-07-19,2026-08-23,22,Available,False
UNIT00299,FAC002,A+,Whole Blood,368,2026-07-03,2026-08-07,6,Available,True
UNIT00300,FAC002,A+,Platelets,52,2026-07-27,2026-08-01,0,Available,True
UNIT00301,FAC002,O+,Plasma,205,2026-03-04,2027-03-04,215,Available,False
UNIT00302,FAC002,A+,RBC,296,2026-07-04,2026-08-08,7,Available,True
UNIT00303,FAC002,AB+,Plasma,219,2026-05-31,2027-05-31,303,Available,False
UNIT00304,FAC002,A+,RBC,279,2026-07-18,2026-08-22,21,Available,False
UNIT00305,FAC002,A+,Plasma,232,2026-01-16,2027-01-16,168,Available,False
UNIT00306,FAC002,AB+,RBC,272,2026-07-22,2026-08-26,25,Available,False
UNIT00307,FAC002,B+,Plasma,233,2026-05-12,2027-05-12,284,Available,False
UNIT00308,FAC003,A+,Whole Blood,431,2026-07-19,2026-08-23,22,Available,False
UNIT00309,FAC003,B+,Platelets,51,2026-07-31,2026-08-05,4,Available,False
UNIT00310,FAC003,B+,Whole Blood,392,2026-07-07,2026-08-11,10,Available,False
UNIT00311,FAC003,A+,Platelets,52,2026-07-30,2026-08-04,3,Available,False
UNIT00312,FAC003,O+,Plasma,230,2025-06-13,2026-06-13,-49,Expired,False
UNIT00313,FAC003,O+,RBC,279,2026-07-28,2026-09-01,31,Available,False
UNIT00314,FAC003,A+,RBC,252,2026-07-28,2026-09-01,31,Available,False
UNIT00315,FAC003,B+,Platelets,58,2026-07-30,2026-08-04,3,Reserved,False
UNIT00316,FAC003,B+,Whole Blood,395,2026-07-07,2026-08-11,10,Available,False
UNIT00317,FAC003,O+,Whole Blood,365,2026-07-02,2026-08-06,5,Available,True
UNIT00318,FAC003,O+,Plasma,224,2025-09-06,2026-09-06,36,Available,True
UNIT00319,FAC003,B+,RBC,283,2026-07-16,2026-08-20,19,Available,False
